WESTERN AUSTRALIA;Perth;The Kart Centre ;300;;Y;30;;;GT5R 200cc
WESTERN AUSTRALIA;Perth;Glenn Mcneall;;;Y;8;;;RSX
WESTERN AUSTRALIA;Perth;Mega fast kart wanneroo;;800;N;20;12;;Own Design
WESTERN AUSTRALIA;Perth;Mega fast kart cockburn;;800;N;30;12;;Own Design
WESTERN AUSTRALIA;Perth;Kart World Belmont;500;;N;20;;;RIMO SHUMASHER / 2SEATS
;;;;TOTAL;70;1503;272;6;1781
;;;;SODI;36;753;73;0;826
NEW ZEALAND;Auckland;BLASTACAR AUCKLAND;220;;N;12;;;Drift karts
NEW ZEALAND;Auckland;Game Over ;290;;N;20;9;;OTL
NEW ZEALAND;Auckland;Extreme Indoor Karts;350;;N;15;;;Homemade
NEW ZEALAND;Christchurch;SupaKarts;220;;Y;30;;;RIMO evo4 (schumarer) X RT8
NEW ZEALAND;Christchurch;Action Kart Raceway;;;N;;;;Dirt Karts
NEW ZEALAND;Cromwell;Highlands Motorsport Park ;;650;N;30;10;;RIMO
NEW ZEALAND;Hamilton;BLASTACARS HAMILTON;200;;N;12;;;Drift karts
NEW ZEALAND;Queenstown;Game over;290;;N;24;;;OTL
NEW ZEALAND;Invercargill;Xtreme Karts;;;N;;;;Drift karts
NEW ZEALAND;Nelson;Pro karts;;600;Y;20;;;LR4, GT4
NEW ZEALAND;Palmerston North;Daytona Indoor Raceway;350;;N;15;10;;Homemade
NEW ZEALAND;Porirua;Indoor raceway;X;;N;12;10;;Adt homemade, only 10 junior Sodi
NEW ZEALAND;ROTORUA;Driftkartz;X;;N;10;;;Drift karts
NEW ZEALAND;ROTORUA;Raceline Karting / Offroad NZ;;1200;Y;20;;;GT3
NEW ZEALAND;New Plymouth;Naki Nitro;140;;N;12;;;RIMO 200CC adt + junior + 2drive
NEW ZEALAND;Taupo;Taupo Karts;;x;Y;16;4;;GT4 390 CHILD CHINA
NEW ZEALAND;Tauranga;Bay karts;;x;Y;12;;;GT5 - RIMO JUNIOR
NEW ZEALAND;Waikato;Hampton Downs Go Karts;;850;N;20;;;RIMO evo6
NEW ZEALAND;Wanganui;Riverland Family Park ;;400;N;5;5;;Homemade
NEW ZEALAND;Wellington;Daytona raceway;300;;N;20;;;RIMO EVO6
;;;;TOTAL;20;305;48;0;353
;;;;SODI;5;98;4;0;102
